           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
   12684.460224 [0000]  Xorg[1087]                          0.008      0.003      0.082 
   12684.460231 [0004]  Xorg:cs0[1091/1087]                 0.076      0.002      0.013 
   12684.460232 [0000]  <idle>                              0.082      0.000      0.008 
   12684.460304 [0004]  <idle>                              0.013      0.000      0.073 
   12684.460311 [0000]  Xorg[1087]                          0.008      0.003      0.078 
   12684.460318 [0004]  Xorg:cs0[1091/1087]                 0.073      0.003      0.013 
   12684.460319 [0000]  <idle>                              0.078      0.000      0.007 
   12684.460376 [0002]  <idle>                              0.068      0.000      1.868 
   12684.460425 [0002]  budgie-wm[1560]                     1.868      0.007      0.048 
   12684.460428 [0001]  <idle>                              0.010      0.000      0.279 
   12684.460444 [0001]  gfx[850]                            0.279      0.005      0.015 
   12684.460472 [0004]  <idle>                              0.013      0.000      0.154 
   12684.460481 [0000]  Xorg[1087]                          0.007      0.003      0.162 
   12684.460485 [0000]  <idle>                              0.162      0.000      0.003 
   12684.460487 [0001]  <idle>                              0.015      0.000      0.043 
   12684.460492 [0000]  Xorg[1087]                          0.003      0.000      0.007 
   12684.460499 [0001]  gfx[850]                            0.043      0.002      0.011 
   12684.460505 [0000]  <idle>                              0.007      0.000      0.012 
   12684.460505 [0004]  Xorg:cs0[1091/1087]                 0.154      0.002      0.032 
   12684.460518 [0002]  <idle>                              0.048      0.000      0.093 
   12684.460533 [0000]  Xorg[1087]                          0.012      0.002      0.027 
   12684.460553 [0001]  <idle>                              0.011      0.000      0.054 
